Job Title,Rating,Company Name,Type of ownership,Industry,Sector,max_salary,avg_salary,avg_size,city,state,age,python_yn,R_yn,spark_yn,aws_yn,hadoop_yn
"Data Science Director, Privacy",4.5,Facebook,Company - Public,Internet,Information Technology,125,105.5,10000.0,Menlo Park,CA,16,0,0,0,0,0
"Sr. Manager, Data Science - Network",4.5,Slack,Company - Public,Internet,Information Technology,125,105.5,3000.5,San Francisco,CA,6,0,0,0,0,0
"Analyst II, Data Science",3.4,Liberty Mutual Insurance,Company - Private,Insurance Carriers,Insurance,125,105.5,10000.0,Boston,MA,108,1,0,0,0,0
Data Science Analyst,3.6,Signature Consultants,Company - Private,Staffing & Outsourcing,Business Services,125,105.5,3000.5,Charlotte,NC,23,1,0,0,0,1
Data Science Specialist,3.7,Eaton,Unknown,Electrical & Electronic Manufacturing,Manufacturing,125,105.5,10000.0,Southfield,MI,109,0,0,0,0,0
"Head of Data Science, SMB",4.5,Facebook,Company - Public,Internet,Information Technology,125,105.5,10000.0,San Francisco,CA,16,0,0,0,0,1
Business Intelligence and Data Sciences Analyst,3.6,TE Connectivity,Company - Public,Electrical & Electronic Manufacturing,Manufacturing,125,105.5,10000.0,Berwyn,PA,13,0,0,0,0,0
"Data Science Senior Manager, Apple Media Products",4.1,Apple,Company - Public,Computer Hardware & Software,Information Technology,125,105.5,10000.0,Santa Clara,CA,44,1,0,1,0,1
Data Science Manager,4.2,Upstart,Company - Private,Lending,Finance,125,105.5,350.5,San Mateo,CA,8,1,0,0,0,0
"Manager, Data Science - Growth Machine Learning",4.6,Livongo,Company - Public,Health Care Services & Hospitals,Health Care,125,105.5,750.5,Mountain View,CA,6,1,0,0,0,0
Head of Data Science,5.0,Duolingo,Company - Private,Internet,Information Technology,125,105.5,350.5,Pittsburgh,PA,9,1,0,1,0,0
Data Science Manager,3.9,Autodesk,Company - Public,Computer Hardware & Software,Information Technology,125,105.5,7500.5,San Francisco,CA,38,1,0,1,0,1
"Sr Manager, Data Science - Policy & Advocacy",3.3,Reynolds American,Company - Private,Consumer Products Manufacturing,Manufacturing,125,105.5,7500.5,Winston-Salem,NC,145,0,0,0,0,0
Data Science Engineer,3.5,Kohl's,Company - Public,"Department, Clothing, & Shoe Stores",Retail,125,105.5,10000.0,Milpitas,CA,58,1,0,1,0,0
Senior Director of Data Science,4.0,Discount Tire,Company - Private,Automotive Parts & Accessories Stores,Retail,125,105.5,10000.0,Scottsdale,AZ,60,1,0,0,0,0
Spring Data Science Intern,-1.0,Øptimus Consulting,-1,-1,-1,125,105.5,-1.0,Alexandria,VA,-1,1,0,0,0,0
"Director, Data Science",4.5,Facebook,Company - Public,Internet,Information Technology,125,105.5,10000.0,Menlo Park,CA,16,0,0,0,0,0
Data Science All Star Program - Data Engineer Track,4.6,Blend360,Company - Private,Consulting,Business Services,125,105.5,125.5,Columbia,MD,18,1,0,1,1,1
Data Science Intern,4.5,"Fullpower Technologies, Inc.",Company - Private,Computer Hardware & Software,Information Technology,120,95.0,125.5,Santa Cruz,CA,17,1,0,0,0,0
Data Science Associate,3.7,Via Transportation,Company - Private,Internet,Information Technology,120,95.0,750.5,New York,NY,8,1,0,0,0,0
Data Science Analyst,5.0,xentity corporation,Company - Private,IT Services,Information Technology,120,95.0,125.5,Denver,CO,19,0,0,0,0,0
Data Science & Analytics Manager,-1.0,Kinship,Company - Private,Advertising & Marketing,Business Services,120,95.0,25.5,New York,NY,-1,0,0,0,1,0
Data Science Lead,3.8,Bristol-Myers Squibb,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,120,95.0,10000.0,Princeton,NJ,162,1,0,0,0,0
Data Science Solutions Manager,3.3,NextEra Energy,Company - Public,Utilities,"Oil, Gas, Energy & Utilities",120,95.0,10000.0,North Palm Beach,FL,-1,1,0,0,1,0
Data Science Division - Executive Assistant to Division VP/Director II,3.3,CNA Corporation,Nonprofit Organization,Aerospace & Defense,Aerospace & Defense,120,95.0,750.5,Arlington,VA,78,0,0,0,1,0
Adjunct (Pool) - Data Science,3.8,Marymount University,College / University,Colleges & Universities,Education,120,95.0,750.5,Ballston Center,NY,70,0,0,0,1,0
Data Science Consultant,3.8,ZS Associates,Company - Private,Consulting,Business Services,120,95.0,7500.5,Philadelphia,PA,37,1,0,0,0,1
"Senior Data Scientist, Data Science Operations",3.4,Squarespace,Company - Private,Internet,Information Technology,120,95.0,3000.5,New York,NY,17,1,0,0,1,0
